"Month_Day","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Mean","Median","Maximum","Minimum"
"02-01",33.75158,35.94049,30.60176,36.2259999999978,33.92657,38.93681,36.1032,33.02092,39.96526,35.77164,36.4501099999999,35.5176672727271,35.94049,39.96526,30.60176
"02-02",35.67647,35.56595,30.79517,35.6120000000067,35.5199,34.42391,35.65805,32.69857,40.66215,36.35494,38.3350900000001,35.5729272727279,35.6120000000067,40.66215,30.79517
"02-03",32.45297,37.03341,31.54425,39.6029999999933,35.51069,33.156,38.76182,35.5813,38.989,36.32424,37.12551,36.0074718181812,36.32424,39.6029999999933,31.54425
"02-04",31.63328,37.40488,35.92514,31.3140000000022,35.24974,35.34184,37.22989,40.36129,37.5768,38.16624,35.84839,36.0046809090911,35.92514,40.36129,31.3140000000022
"02-05",32.80909,37.50926,35.07782,31.6209999999978,33.78842,35.69796,34.11998,42.32302,37.52768,40.24156,37.22375,36.1763218181816,35.69796,42.32302,31.6209999999978
"02-06",36.55142,36.16767,34.04016,31.6210000000089,32.30561,35.70103,32.4806,39.12408,38.3443,37.04569,37.8715199999999,35.5684618181826,36.16767,39.12408,31.6210000000089
"02-07",36.09399,36.75097,30.39607,35.6119999999955,32.89812,33.62878,38.50087,33.72702,39.67054,34.04937,34.92739,35.1141018181814,34.92739,39.67054,30.39607
"02-08",32.96566,35.37254,31.67012,30.3930000000045,34.97344,34.9059,39.39117,34.37479,37.86231,34.35637,34.10156,34.5788054545459,34.37479,39.39117,30.3930000000045
"02-09",32.23807,36.31196,32.36701,26.7089999999911,35.72559,38.63288,38.068,36.20758,38.39649,31.72845,38.9214599999999,35.0278627272719,36.20758,38.9214599999999,26.7089999999911
"02-10",33.29415,35.52911,34.42391,33.77,35.89137,39.18548,34.55285,36.08785,37.28515,36.62817,38.41798,35.9150927272727,35.89137,39.18548,33.29415
"02-11",33.29108,34.97651,32.89505,35.305,35.71331,31.81441,35.95891,35.8883,38.14168,40.7696,37.81626,35.6881918181818,35.71331,40.7696,31.81441
"02-12",33.59194,35.72559,35.59665,35.305,35.33263,32.94417,35.64884,36.51765,37.45093,39.33898,33.5243999999999,35.5433436363636,35.59665,39.33898,32.94417
"02-13",34.9673,36.19837,36.84921,31.0070000000067,36.02952,36.21986,35.86681,36.34573,38.53464,37.84082,33.05162,35.7191709090915,36.19837,38.53464,31.0070000000067
"02-14",36.12162,32.56963,35.94356,32.235,35.82997,35.32342,35.74708,38.84471,39.13636,34.16603,36.49002,35.6734,35.82997,39.13636,32.235
"02-15",34.79845,40.49637,34.09235,29.7790000000022,35.78085,38.8355,36.14925,38.9583,39.12101,33.68711,35.80234,36.136411818182,35.80234,40.49637,29.7790000000022
"02-16",35.67033,35.19755,33.14372,31.6209999999978,35.92514,33.12223,37.07639,36.64045,39.46485,36.86456,36.6251,35.5773927272725,35.92514,39.46485,31.6209999999978
"02-17",35.01949,35.30807,34.22129,34.9979999999933,35.24053,35.94356,38.8662,36.95666,39.59379,37.58294,39.30828,36.6398918181812,35.94356,39.59379,34.22129
"02-18",31.24032,34.63881,34.58048,35.6120000000067,35.5199,36.39178,38.69428,37.83775,39.04426,37.05797,39.5109,36.3753136363642,36.39178,39.5109,31.24032
"02-19",32.35473,35.19448,33.59194,34.0769999999955,36.49309,35.33877,37.39567,37.04262,37.9452,37.61057,35.85146,35.717775454545,35.85146,37.9452,32.35473
"02-20",34.691,37.37725,30.55264,29.4720000000067,35.56902,35.51376,33.30643,36.87991,37.71495,36.91368,33.0301299999999,34.6382518181824,35.51376,37.71495,29.4720000000067
"02-21",36.49002,35.45236,33.64413,35.6119999999955,33.66562,32.63103,34.35944,35.1515,37.43251,34.14761,37.23603,35.0747499999996,35.1515,37.43251,32.63103
"02-22",33.73316,35.07782,31.84511,31.9280000000045,32.48367,36.29968,36.99043,39.01663,38.14782,37.47242,38.92453,35.6290245454549,36.29968,39.01663,31.84511
"02-23",33.53054,31.26795,30.91183,29.7789999999911,34.01867,38.64516,38.00353,38.62981,37.36497,36.92903,39.60914,35.3354209090901,36.92903,39.60914,29.7789999999911
"02-24",34.92125,32.06615,32.66787,32.8490000000022,32.58498,36.83386,38.24606,35.60893,37.80091,37.34655,37.01806,35.267601818182,35.60893,38.24606,32.06615
"02-25",32.45911,35.79313,34.27655,34.3840000000022,36.8707,35.72252,37.17156,31.93414,37.76714,36.0725,35.6242799999999,35.2796027272729,35.72252,37.76714,31.93414
"02-26",33.02092,36.10013,34.52215,35.9190000000022,36.80623,33.33099,37.01192,33.21126,37.55838,38.28597,38.08335,35.8045727272729,36.10013,38.28597,33.02092
"02-27",33.64413,36.27819,35.73787,27.9369999999955,35.59665,33.1867,33.61957,35.4585,38.97979,37.92371,36.32731,34.9717654545451,35.59665,38.97979,27.9369999999955
"02-28",35.87909,37.34348,35.65498,30.3930000000045,45.52196,38.81094,35.47078,38.54078,38.97672,37.47242,34.82608,37.1718390909095,37.34348,45.52196,30.3930000000045
"02-29",NA,NA,33.14372,NA,NA,NA,36.47467,NA,NA,NA,36.18302,NA,NA,NA,NA
"03-01",33.27266,36.06022,31.14208,36.2259999999978,35.57209,35.19141,39.18855,38.7127,39.28372,34.52522,36.18302,35.9416063636362,36.06022,39.28372,31.14208
"03-02",30.43598,35.3357,31.90037,34.6909999999978,31.34777,37.65969,37.97283,39.24688,39.10259,37.76714,36.84921,35.6644690909089,36.84921,39.24688,30.43598
"03-03",27.27388,35.62428,31.36312,36.84,38.8109399999978,36.08171,38.75261,32.34552,39.27144,36.12469,37.9145,35.4911536363634,36.12469,39.27144,27.27388
"03-04",25.76037,32.85207,34.97037,35.6120000000067,36.9996399999955,36.07557,39.62449,36.46546,39.61528,37.34348,40.88012,36.0180772727275,36.46546,40.88012,25.76037
"03-05",26.92083,33.71474,35.21904,30.7,30.03995,31.82055,39.0967569999988,39.49862,38.49473,35.8883,39.98061,34.6703751818181,35.21904,39.98061,26.92083
"03-06",33.1007400000017,36.01417,35.84839,32.8489999999911,36.0663600000045,35.66419,39.0623730000011,38.34737,39.40038,36.35494,38.49473,36.4729675454544,36.0663600000045,39.40038,32.8489999999911
"03-07",30.1412599999983,36.6926400000011,32.7262,36.84,30.4666799999933,37.58294,36.9014,39.98368,38.91225,38.66665,36.50537,35.9471881818175,36.84,39.98368,30.1412599999983
